method_1,method_2,b,c,chi2,p_holm,sig
CodeLlama,StarCoder2,65,156,36.652,<0.001,Yes
CodeLlama,DeepSeek-Coder,50,237,120.544,<0.001,Yes
CodeLlama,Mistral,23,140,82.552,<0.001,Yes
CodeLlama,WizardCoder,45,133,42.523,<0.001,Yes
CodeLlama,Flawfinder,51,107,19.146,<0.001,Yes
CodeLlama,cppcheck,50,145,45.313,<0.001,Yes
CodeLlama,Always-Safe,69,169,41.181,<0.001,Yes
StarCoder2,DeepSeek-Coder,19,115,67.351,<0.001,Yes
StarCoder2,Mistral,120,146,2.350,1.000,No
StarCoder2,WizardCoder,141,138,0.014,1.000,No
StarCoder2,Flawfinder,108,73,6.387,0.126,No
StarCoder2,cppcheck,105,109,0.042,1.000,No
StarCoder2,Always-Safe,25,34,1.085,1.000,No
DeepSeek-Coder,Mistral,140,70,22.671,<0.001,Yes
DeepSeek-Coder,WizardCoder,157,58,44.670,<0.001,Yes
DeepSeek-Coder,Flawfinder,142,11,110.458,<0.001,Yes
DeepSeek-Coder,cppcheck,120,28,55.953,<0.001,Yes
DeepSeek-Coder,Always-Safe,98,11,67.853,<0.001,Yes
Mistral,WizardCoder,70,41,7.063,0.094,No
Mistral,Flawfinder,102,41,25.175,<0.001,Yes
Mistral,cppcheck,68,46,3.868,0.443,No
Mistral,Always-Safe,168,151,0.803,1.000,No
WizardCoder,Flawfinder,96,64,6.006,0.143,No
WizardCoder,cppcheck,50,57,0.336,1.000,No
WizardCoder,Always-Safe,152,164,0.383,1.000,No
Flawfinder,cppcheck,27,66,15.527,0.001,Yes
Flawfinder,Always-Safe,79,123,9.154,0.032,Yes
cppcheck,Always-Safe,126,131,0.062,1.000,No
