model,stage,acc,prec,rec,f1,fpr,fnr
codellama,stage1,0.510,0.497,0.979,0.660,0.932,0.021
codellama,stage2,0.578,0.539,0.881,0.669,0.709,0.119
codellama,stage3,0.265,0.290,0.356,0.319,0.820,0.644
codellama,stage4,0.302,0.308,0.351,0.328,0.743,0.649
starcoder2,stage1,0.515,0.000,0.000,0.000,0.000,1.000
starcoder2,stage2,0.522,0.507,0.536,0.521,0.490,0.464
starcoder2,stage3,0.492,0.424,0.129,0.198,0.165,0.871
starcoder2,stage4,0.525,1.000,0.021,0.040,0.000,0.979
deepseek,stage1,0.728,0.938,0.469,0.625,0.029,0.531
deepseek,stage2,0.655,0.754,0.428,0.546,0.131,0.572
deepseek,stage3,0.733,0.899,0.505,0.647,0.053,0.495
deepseek,stage4,0.780,0.973,0.562,0.712,0.015,0.438
mistral,stage1,0.568,0.532,0.897,0.668,0.743,0.103
mistral,stage2,0.610,0.589,0.649,0.618,0.427,0.350
mistral,stage3,0.557,0.527,0.866,0.655,0.733,0.134
mistral,stage4,0.515,0.500,0.644,0.563,0.607,0.356
wizardcoder,stage1,0.540,0.519,0.701,0.597,0.612,0.299
wizardcoder,stage2,0.562,0.541,0.649,0.590,0.519,0.350
wizardcoder,stage3,0.485,0.481,0.784,0.596,0.796,0.216
wizardcoder,stage4,0.463,0.469,0.814,0.595,0.869,0.186
