model,stage,vds_fnr,fpr,eligible
codellama,1,N/A,0.932,No
codellama,2,N/A,0.709,No
codellama,3,N/A,0.820,No
codellama,4,N/A,0.743,No
starcoder2,1,1.000,0.000,Yes
starcoder2,2,N/A,0.490,No
starcoder2,3,N/A,0.165,No
starcoder2,4,0.979,0.000,Yes
deepseek,1,0.531,0.029,Yes
deepseek,2,N/A,0.131,No
deepseek,3,N/A,0.053,No
deepseek,4,0.438,0.015,Yes
mistral,1,N/A,0.743,No
mistral,2,N/A,0.427,No
mistral,3,N/A,0.733,No
mistral,4,N/A,0.607,No
wizardcoder,1,N/A,0.612,No
wizardcoder,2,N/A,0.519,No
wizardcoder,3,N/A,0.796,No
wizardcoder,4,N/A,0.869,No
